,,,,,,
Arena Matchings,,,,,,
,,,,,,
game_version,end_time,date,character,card_title,wins,player_id
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Dread Corsair,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Jeeves,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Assassin's Blade,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Dark Iron Skulker,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Madder Bomber,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Mukla's Champion,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Shado-Pan Rider,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Boulderfist Ogre,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Lord of the Arena,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Bog Creeper,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Alexstrasza,4,1
5.0.0.12574,6:34 PM,5/19/2016,Warlock,Sacrificial Pact,3,1
5.0.0.12574,6:34 PM,5/19/2016,Warlock,Soulfire,3,1
5.0.0.12574,6:34 PM,5/19/2016,Warlock,Flame Imp,3,1
5.0.0.12574,6:34 PM,5/19/2016,Warlock,Lowly Squire,3,1
5.0.0.12574,6:34 PM,5/19/2016,Warlock,Possessed Villager,3,1
5.0.0.12574,6:34 PM,5/19/2016,Warlock,Darkbomb,3,1
5.0.0.12574,6:34 PM,5/19/2016,Warlock,Bilefin Tidehunter,3,1
